1	0	a 
 4	0	a 
 7	1	b 
 10	0	a 
 13	2	g 
 16	1	b 
 18	3	d 
 21	4	f 
 22	5	e 
 1	0	a 
 4	0	a 
 7	1	b 
 10	0	a 
 13	2	g 
 16	1	b 
 18	3	d 
 21	4	f 
 22	5	e 
 1	0	a 
 4	0	a 
 7	1	b 
 10	0	a 
 13	2	g 
 16	1	b 
 18	3	d 
 21	4	f 
 22	5	e 
 1	0	a 
 4	0	a 
 7	1	b 
 10	0	a 
 13	2	g 
 16	1	b 
 18	3	d 
 1	0	a 
 4	0	a 
 7	1	b 
 10	0	a 
 13	2	g 
 16	1	b 
 18	3	d 
 21	4	f 
 22	5	e 
 24	6	c 
 27	2	g 
 30	7	f 
 31	3	d 
 34	1	b 
 37	5	e 
 40	2	g 
 41	4	f 
 43	3	d 
 46	6	c 
 49	1	b 
 1	0	a 
 4	0	a 
 7	1	b 
 10	0	a 
 13	2	g 
 16	1	b 
 18	3	d 
 21	4	f 
 22	5	e 
 24	6	c 
 27	2	g 
 30	7	f 
 31	3	d 
 34	1	b 
 37	5	e 
 40	2	g 
 41	4	f 
 43	3	d 
 46	6	c 
 49	1	b 
 1	0	a 
 4	0	a 
 7	1	b 
 10	0	a 
 13	2	g 
 16	1	b 
 18	3	d 
 21	4	f 
 22	5	e 
 24	6	c 
 27	2	g 
 30	7	f 
 31	3	d 
 34	1	b 
 37	5	e 
 40	2	g 
 41	4	f 
 43	3	d 
 46	6	c 
 49	1	b 
 1	0	a 
 4	0	a 
 7	1	b 
 10	0	a 
 13	2	g 
 16	1	b 
 18	3	d 
 21	4	f 
 22	5	e 
 24	6	c 
 27	2	g 
 30	7	f 
 31	3	d 
 34	1	b 
 37	5	e 
 40	2	g 
 41	4	f 
 43	3	d 
 46	6	c 
 49	1	b 
 1	0	a 
 4	0	a 
 7	1	b 
 10	0	a 
 13	2	g 
 16	1	b 
 18	3	d 
 21	4	f 
 22	5	e 
 24	6	c 
 27	2	g 
 30	7	f 
 31	3	d 
 34	1	b 
 37	5	e 
 40	2	g 
 41	4	f 
 43	3	d 
 46	6	c 
 49	1	b 
 
